mechanism,band,environment,condition,bandwidth_mhz,test,test_number,status,test_dir,pcap,reference_load_per_sta_mbps,reference_load_aggregate_mbps,reference_load_source,load_resolution_status,load_resolution_note,udp_ffmpeg_difference_pct,tcp_achieved_sender_mbps,tcp_achieved_receiver_mbps,tcp_sender_as_pct_of_reference,tcp_receiver_as_pct_of_reference,udp_offered_sender_mbps,udp_achieved_receiver_mbps,udp_reported_jitter_ms,udp_reported_loss_pct,ffmpeg_target_rate_mbps,nominal_test_load_per_sta_mbps,nominal_test_load_aggregate_mbps,tcp_sender_rate_mbps,tcp_receiver_rate_mbps,udp_sender_rate_mbps,udp_receiver_rate_mbps,n_rtt_summary_rows,n_throughput_summary_rows,output_dir,configuration_name,operating_mode,global_results_dir
iPCF2,24GHz,CamAne,SN,20,1,1,PASS,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1\pcap\rep_1.pcap,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,24,36,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz\Test_01,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,4,4,PASS,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 4,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 4\pcap\rep_1.pcap,20.0,40.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (20 Mbps/STA). ffmpeg target=20 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,13.5,13.5,67.5,67.5,20.0,20.0,0.624,0.0,20.0,20.0,40.0,13.5,13.5,20.0,20.0,20,36,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz\Test_04,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,6,6,PASS,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 6,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 6\pcap\rep_1.pcap,30.0,60.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (30 Mbps/STA). ffmpeg target=30 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,9.16,9.15,30.533333333333335,30.5,30.0,29.9,0.413,0.22,30.0,30.0,60.0,9.16,9.15,30.0,29.9,20,36,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz\Test_06,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,7,7,PASS,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 7,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 7\pcap\rep_1.pcap,40.0,80.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (40 Mbps/STA). ffmpeg target=40 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,8.03,7.97,20.074999999999996,19.925,40.0,24.6,0.259,38.0,40.0,40.0,80.0,8.03,7.97,40.0,24.6,19,36,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz\Test_07,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,40,1,1,PASS,D:\iPCF2_24GHz_CamAne_SN_BW40MHz\Prueba_Siemens2\Test 1,D:\iPCF2_24GHz_CamAne_SN_BW40MHz\Prueba_Siemens2\Test 1\pcap\rep_1.pcap,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.925,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,24,36,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW40MHz\Test_01,iPCF2_24GHz_CamAne_SN_BW40MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW40MHz
iPCF2,24GHz,CamAne,SN,40,2,2,PASS,D:\iPCF2_24GHz_CamAne_SN_BW40MHz\Prueba_Siemens2\Test 2,D:\iPCF2_24GHz_CamAne_SN_BW40MHz\Prueba_Siemens2\Test 2\pcap\rep_1.pcap,20.0,40.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (20 Mbps/STA). ffmpeg target=20 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,20.0,20.0,100.0,100.0,20.0,20.0,0.613,0.0,20.0,20.0,40.0,20.0,20.0,20.0,20.0,20,36,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW40MHz\Test_02,iPCF2_24GHz_CamAne_SN_BW40MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW40MHz
iPCF2,24GHz,CamAne,SN,40,3,3,PASS,D:\iPCF2_24GHz_CamAne_SN_BW40MHz\Prueba_Siemens2\Test 3,D:\iPCF2_24GHz_CamAne_SN_BW40MHz\Prueba_Siemens2\Test 3\pcap\rep_1.pcap,40.0,80.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (40 Mbps/STA). ffmpeg target=40 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,40.0,40.0,100.0,100.0,40.0,40.0,0.332,0.0,40.0,40.0,80.0,40.0,40.0,40.0,40.0,20,36,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW40MHz\Test_03,iPCF2_24GHz_CamAne_SN_BW40MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW40MHz
iPCF2,24GHz,CamAne,SN,40,4,4,PASS,D:\iPCF2_24GHz_CamAne_SN_BW40MHz\Prueba_Siemens2\Test 4,D:\iPCF2_24GHz_CamAne_SN_BW40MHz\Prueba_Siemens2\Test 4\pcap\rep_1.pcap,60.0,120.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (60 Mbps/STA). ffmpeg target=60 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,35.8,35.6,59.66666666666666,59.333333333333336,60.0,59.3,0.273,1.2,60.0,60.0,120.0,35.8,35.6,60.0,59.3,20,36,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW40MHz\Test_04,iPCF2_24GHz_CamAne_SN_BW40MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW40MHz
iPCF2,24GHz,CamAne,SN,40,5,5,PASS,D:\iPCF2_24GHz_CamAne_SN_BW40MHz\Prueba_Siemens2\Test 5,D:\iPCF2_24GHz_CamAne_SN_BW40MHz\Prueba_Siemens2\Test 5\pcap\rep_1.pcap,80.0,160.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (80 Mbps/STA). ffmpeg target=80 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,37.5,37.3,46.875,46.62499999999999,80.0,55.5,0.208,30.0,80.0,80.0,160.0,37.5,37.3,80.0,55.5,17,36,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW40MHz\Test_05,iPCF2_24GHz_CamAne_SN_BW40MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW40MHz
iPCF2,5GHz,CamAne,SN,20,1,1,PASS,D:\iPCF2_5GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,D:\iPCF2_5GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1\pcap\rep_1.pcap,5.0,10.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (5 Mbps/STA). ffmpeg target=5 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,5.0,5.0,100.0,100.0,5.0,5.0,0.327,0.0,5.0,5.0,10.0,5.0,5.0,5.0,5.0,24,36,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_5GHz_CamAne_SN_BW20MHz\Test_01,iPCF2_5GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_5GHz_CamAne_SN_BW20MHz
iPCF2,5GHz,CamAne,SN,20,2,2,PASS,D:\iPCF2_5GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 2,D:\iPCF2_5GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 2\pcap\rep_1.pcap,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.38,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,20,36,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_5GHz_CamAne_SN_BW20MHz\Test_02,iPCF2_5GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_5GHz_CamAne_SN_BW20MHz
iPCF2,5GHz,CamAne,SN,20,3,3,PASS,D:\iPCF2_5GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 3,D:\iPCF2_5GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 3\pcap\rep_1.pcap,15.0,30.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (15 Mbps/STA). ffmpeg target=15 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,15.0,15.0,100.0,100.0,15.0,15.0,0.234,0.0,15.0,15.0,30.0,15.0,15.0,15.0,15.0,20,36,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_5GHz_CamAne_SN_BW20MHz\Test_03,iPCF2_5GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_5GHz_CamAne_SN_BW20MHz
