configuration_name,mechanism,operating_mode,band,environment,condition,bandwidth_mhz,status,processing_mode,source_config_dir,test_container,results_dir,n_tests,error_type,error_message,traceback
iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2,iPCF2_ON,24GHz,CamAne,SN,20,PASS,PROCESSED_FROM_PCAP,D:\iPCF2_24GHz_CamAne_SN_BW20MHz,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz,4,,,
iPCF2_24GHz_CamAne_SN_BW40MHz,iPCF2,iPCF2_ON,24GHz,CamAne,SN,40,PASS,PROCESSED_FROM_PCAP,D:\iPCF2_24GHz_CamAne_SN_BW40MHz,D:\iPCF2_24GHz_CamAne_SN_BW40MHz\Prueba_Siemens2,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW40MHz,5,,,
iPCF2_5GHz_CamAne_SN_BW20MHz,iPCF2,iPCF2_ON,5GHz,CamAne,SN,20,PASS,PROCESSED_FROM_PCAP,D:\iPCF2_5GHz_CamAne_SN_BW20MHz,D:\iPCF2_5GHz_CamAne_SN_BW20MHz\Prueba_Siemens2,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_5GHz_CamAne_SN_BW20MHz,10,,,
iPCF2_5GHz_CamAne_SN_BW40MHz,iPCF2,iPCF2_ON,5GHz,CamAne,SN,40,PASS,PROCESSED_FROM_PCAP,D:\iPCF2_5GHz_CamAne_SN_BW40MHz,D:\iPCF2_5GHz_CamAne_SN_BW40MHz\Prueba_Siemens2,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_5GHz_CamAne_SN_BW40MHz,8,,,
iPCF2_5GHz_CamAne_SN_BW80MHz,iPCF2,iPCF2_ON,5GHz,CamAne,SN,80,PASS,PROCESSED_FROM_PCAP,D:\iPCF2_5GHz_CamAne_SN_BW80MHz,D:\iPCF2_5GHz_CamAne_SN_BW80MHz\Prueba_Siemens2,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_5GHz_CamAne_SN_BW80MHz,8,,,
iPCF2_5GHz_Lab_SN_BW20MHz,iPCF2,iPCF2_ON,5GHz,Lab,SN,20,PASS,PROCESSED_FROM_PCAP,D:\iPCF2_5GHz_Lab_SN_BW20MHz,D:\iPCF2_5GHz_Lab_SN_BW20MHz\Prueba_Siemens2,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_5GHz_Lab_SN_BW20MHz,3,,,
iPCF2_5GHz_Lab_SN_BW40MHz,iPCF2,iPCF2_ON,5GHz,Lab,SN,40,PASS,PROCESSED_FROM_PCAP,D:\iPCF2_5GHz_Lab_SN_BW40MHz,D:\iPCF2_5GHz_Lab_SN_BW40MHz\Prueba_Siemens2,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_5GHz_Lab_SN_BW40MHz,4,,,
iPCF2_5GHz_Lab_SN_BW80MHz,iPCF2,iPCF2_ON,5GHz,Lab,SN,80,PASS,PROCESSED_FROM_PCAP,D:\iPCF2_5GHz_Lab_SN_BW80MHz,D:\iPCF2_5GHz_Lab_SN_BW80MHz\Prueba_Siemens2,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_5GHz_Lab_SN_BW80MHz,2,,,
iWLAN_24GHz_CamAne_SN_BW20MHz,iWLAN,iPCF2_OFF_iWLAN,24GHz,CamAne,SN,20,PASS,PROCESSED_FROM_PCAP,D:\iWLAN_24GHz_CamAne_SN_BW20MHz,D:\iWLAN_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iWLAN_24GHz_CamAne_SN_BW20MHz,6,,,
iWLAN_24GHz_CamAne_SN_BW40MHz,iWLAN,iPCF2_OFF_iWLAN,24GHz,CamAne,SN,40,PASS,PROCESSED_FROM_PCAP,D:\iWLAN_24GHz_CamAne_SN_BW40MHz,D:\iWLAN_24GHz_CamAne_SN_BW40MHz\Prueba_Siemens2,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iWLAN_24GHz_CamAne_SN_BW40MHz,6,,,
