mechanism,band,environment,condition,bandwidth_mhz,test,phase,sta_ip,icmp_id,requests,first_request_local,last_request_local,median_request_interval_s,assigned_probe_interval_s,phase_rate_per_sta_mbps,phase_rate_aggregate_mbps,phase_rate_role,phase_reference_rate_per_sta_mbps,phase_reference_rate_aggregate_mbps,reference_load_per_sta_mbps,reference_load_aggregate_mbps,reference_load_source,load_resolution_status,load_resolution_note,udp_ffmpeg_difference_pct,tcp_achieved_sender_mbps,tcp_achieved_receiver_mbps,tcp_sender_as_pct_of_reference,tcp_receiver_as_pct_of_reference,udp_offered_sender_mbps,udp_achieved_receiver_mbps,udp_reported_jitter_ms,udp_reported_loss_pct,ffmpeg_target_rate_mbps,nominal_test_load_per_sta_mbps,nominal_test_load_aggregate_mbps,tcp_sender_rate_mbps,tcp_receiver_rate_mbps,udp_sender_rate_mbps,udp_receiver_rate_mbps,source_test_dir,configuration_name,operating_mode,global_results_dir
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,192.168.1.11,66,60,2025-11-25 10:49:29.870,2025-11-25 10:50:28.959,1.001513957977295,1.0,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,192.168.1.11,68,120,2025-11-25 10:50:28.967,2025-11-25 10:51:28.584,0.5010030269622803,0.5,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,192.168.1.11,70,1200,2025-11-25 10:51:28.594,2025-11-25 10:52:29.418,0.05053400993347168,0.05,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,192.168.1.12,65,60,2025-11-25 10:49:29.801,2025-11-25 10:50:28.891,1.0015358924865723,1.0,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,192.168.1.12,67,120,2025-11-25 10:50:28.909,2025-11-25 10:51:28.520,0.5009219646453857,0.5,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,192.168.1.12,69,1200,2025-11-25 10:51:28.526,2025-11-25 10:52:29.322,0.050521135330200195,0.05,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,idle,192.168.1.11,48,60,2025-11-25 10:40:30.421,2025-11-25 10:41:29.517,1.0016090869903564,1.0,,,,,,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,idle,192.168.1.11,50,120,2025-11-25 10:41:29.524,2025-11-25 10:42:29.142,0.5010080337524414,0.5,,,,,,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,idle,192.168.1.11,52,1200,2025-11-25 10:42:29.150,2025-11-25 10:43:29.720,0.050569772720336914,0.05,,,,,,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,idle,192.168.1.12,47,60,2025-11-25 10:40:30.419,2025-11-25 10:41:29.504,1.0013878345489502,1.0,,,,,,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
