mechanism,band,environment,condition,bandwidth_mhz,test,phase,probe_interval_s,sta_ip,throughput_N,throughput_mean,throughput_sd_population,throughput_min,throughput_P50,throughput_P95,throughput_P99,throughput_P99.9,throughput_max,phase_rate_per_sta_mbps,phase_rate_aggregate_mbps,phase_rate_role,phase_reference_rate_per_sta_mbps,phase_reference_rate_aggregate_mbps,reference_load_per_sta_mbps,reference_load_aggregate_mbps,reference_load_source,load_resolution_status,load_resolution_note,udp_ffmpeg_difference_pct,tcp_achieved_sender_mbps,tcp_achieved_receiver_mbps,tcp_sender_as_pct_of_reference,tcp_receiver_as_pct_of_reference,udp_offered_sender_mbps,udp_achieved_receiver_mbps,udp_reported_jitter_ms,udp_reported_loss_pct,ffmpeg_target_rate_mbps,nominal_test_load_per_sta_mbps,nominal_test_load_aggregate_mbps,tcp_sender_rate_mbps,tcp_receiver_rate_mbps,udp_sender_rate_mbps,udp_receiver_rate_mbps,source_test_dir,configuration_name,operating_mode,global_results_dir
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,ALL,192.168.1.11,180,9.973642977777779,3.9244734052371775,0.0,10.953864,14.619952,15.318872,18.217152,18.217152,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,ALL,192.168.1.12,180,9.974410044444445,3.905606327082874,0.0,11.136696,14.67324,14.883952,17.27716,17.27716,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,ALL,AGGREGATE,180,19.948053022222222,7.822001193459406,0.0,21.471616,29.287656,29.909592,35.494312,35.494312,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,0.05,192.168.1.11,60,10.122451466666666,3.8399164802490495,4.35112,10.583232,14.64932,15.318872,15.318872,15.318872,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,0.05,192.168.1.12,60,10.119250533333334,3.7966252235116364,4.299744,10.23636,14.41864,14.883952,14.883952,14.883952,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,0.05,AGGREGATE,60,20.241701999999997,7.624624094383828,8.722416,20.819592,29.287656,29.79892,29.79892,29.79892,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,0.5,192.168.1.11,60,10.118472533333334,3.815613628520055,4.441632,11.837688,14.619952,15.134128,15.134128,15.134128,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,0.5,192.168.1.12,60,10.112716133333333,3.839068103452883,4.163168,11.754456,14.693616,14.775464,14.775464,14.775464,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,0.5,AGGREGATE,60,20.231188666666664,7.649726655947812,8.6048,23.290312,29.319904,29.909592,29.909592,29.909592,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
iPCF2,24GHz,CamAne,SN,20,1,ffmpeg_udp,1.0,192.168.1.11,60,9.680004933333333,4.095273583062854,0.0,10.157616,14.464272,18.217152,18.217152,18.217152,10.0,20.0,ffmpeg_sdp_target_rate,10.0,20.0,10.0,20.0,iperf3_udp_sender,OK_UDP_FFMPEG_MATCH,Reference load taken from rate-controlled UDP sender summary (10 Mbps/STA). ffmpeg target=10 Mbps/STA; difference=0.000% <= tolerance 2.000%. TCP is retained as achieved throughput and is not required to match the reference load.,0.0,10.0,10.0,100.0,100.0,10.0,10.0,0.818,0.0,10.0,10.0,20.0,10.0,10.0,10.0,10.0,D:\iPCF2_24GHz_CamAne_SN_BW20MHz\Prueba_Siemens2\Test 1,iPCF2_24GHz_CamAne_SN_BW20MHz,iPCF2_ON,C:\Users\rarriaga\Documents\ipcf_2 analisis\ALL_SN_RESULTS_FINAL\per_configuration\iPCF2_24GHz_CamAne_SN_BW20MHz
